epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,185.727,1.44992,5.66827,0.00673,0.6898,0.26992,0.19159,0.09984,1.44214,3.56772,0.00971,0.000413306,0.000413306,0.000413306
2,322.381,1.28418,4.11855,0.00584,0.53363,0.33727,0.31353,0.18672,1.35519,2.81533,0.00892,0.000788889,0.000788889,0.000788889
3,459.279,1.33554,3.69474,0.00614,0.51924,0.3781,0.33963,0.2079,1.2568,2.6646,0.00831,0.00112322,0.00112322,0.00112322
4,593.195,1.26507,3.22987,0.0057,0.69385,0.38837,0.36957,0.22794,1.25918,2.44656,0.00846,0.00106437,0.00106437,0.00106437
5,730.974,1.22266,2.95627,0.00549,0.57468,0.43038,0.37576,0.23128,1.32675,2.33819,0.0085,0.0010025,0.0010025,0.0010025
6,861.373,1.21112,2.72978,0.00543,0.57349,0.48701,0.3864,0.23411,1.27949,2.17589,0.00877,0.000940625,0.000940625,0.000940625
7,983.486,1.20975,2.46683,0.00544,0.47032,0.46268,0.3949,0.24758,1.27932,2.03261,0.0085,0.00087875,0.00087875,0.00087875
8,1110.6,1.1829,2.32683,0.00527,0.52249,0.46487,0.39902,0.24208,1.32711,2.05458,0.00844,0.000816875,0.000816875,0.000816875
9,169.723,1.20296,2.20312,0.0054,0.61762,0.43011,0.39081,0.23152,1.43071,1.98853,0.00962,0.000755,0.000755,0.000755
10,301.947,1.18604,2.07683,0.00523,0.44042,0.49841,0.40112,0.24486,1.25937,1.89318,0.0083,0.000693125,0.000693125,0.000693125
11,432.028,1.1402,1.99435,0.00507,0.45385,0.46187,0.41305,0.25204,1.22609,1.80608,0.00802,0.00063125,0.00063125,0.00063125
12,574.908,1.12466,1.87035,0.00495,0.37408,0.53097,0.41227,0.2473,1.26992,1.81816,0.0085,0.000569375,0.000569375,0.000569375
13,714.281,1.07306,1.79088,0.00474,0.37836,0.48909,0.41196,0.25766,1.25272,1.88713,0.00821,0.0005075,0.0005075,0.0005075
14,853.618,1.05876,1.71316,0.00464,0.3721,0.46991,0.42647,0.25779,1.26262,1.78908,0.00832,0.000445625,0.000445625,0.000445625
15,986.862,1.06057,1.62109,0.00462,0.40213,0.51054,0.42584,0.26493,1.25134,1.77779,0.00829,0.00038375,0.00038375,0.00038375
16,1114.66,1.02373,1.60835,0.00447,0.45823,0.4839,0.42986,0.2656,1.27199,1.81854,0.00832,0.000321875,0.000321875,0.000321875
17,1250.57,1.03744,1.56728,0.00452,0.45324,0.47677,0.42772,0.26311,1.22612,1.84657,0.00812,0.00026,0.00026,0.00026
18,1383.46,1.00365,1.5315,0.00441,0.44858,0.47422,0.42975,0.26679,1.2328,1.82603,0.00809,0.000198125,0.000198125,0.000198125
19,1513.08,1.0013,1.49549,0.00438,0.46973,0.46997,0.42952,0.26321,1.2662,1.85643,0.00836,0.00013625,0.00013625,0.00013625
20,1649.55,1.00781,1.44959,0.0044,0.47953,0.47842,0.43177,0.26397,1.24897,1.7967,0.00822,7.4375e-05,7.4375e-05,7.4375e-05
