image_id,file_name,event_type,prediction_index,predicted_label,actual_label,confidence,iou,prediction_box,gt_index,gt_box,relative_bbox_area,size_category,gt_class,best_prediction_class,diagnostic_reason
2,train_283.png,false_negative,3,1,1,0.49161577224731445,0.6335144639015198,"[1995.1478271484375, 1035.3111572265625, 2160.969970703125, 1215.2242431640625]",1.0,"[2013.0, 1049.0, 2153.0, 1184.0]",0.00437551857997985,small,Impacted,Impacted,best candidate below fixed confidence
2,train_283.png,false_negative,7,2,2,0.43425559997558594,0.7103480100631714,"[1737.6480712890625, 632.040283203125, 1857.07568359375, 922.2009887695312]",3.0,"[1732.0, 679.0, 1872.0, 931.0]",0.008167634682629052,small,Caries,Caries,best candidate below fixed confidence
25,train_176.png,false_negative,6,2,2,0.464574933052063,0.7931162714958191,"[1002.8250732421875, 461.43023681640625, 1140.4580078125, 768.046875]",2.0,"[985.1239624023438, 481.81817626953125, 1134.710693359375, 770.2479248046875]",0.01000244424772726,medium,Caries,Caries,best candidate below fixed confidence
25,train_176.png,false_negative,29,3,2,0.2666589021682739,0.8414510488510132,"[1190.510986328125, 482.1865234375, 1283.05224609375, 786.9737548828125]",3.0,"[1190.0826416015625, 518.1818237304688, 1285.950439453125, 782.6446533203125]",0.0058777405037916935,small,Caries,Periapical Lesion,best candidate below fixed confidence
25,train_176.png,false_negative,41,2,2,0.23816822469234467,0.925000786781311,"[1718.260986328125, 443.07177734375, 1840.571044921875, 752.2598266601562]",5.0,"[1717.0, 447.0, 1835.0, 755.0]",0.008425695124484406,small,Caries,Caries,best candidate below fixed confidence
25,train_176.png,false_negative,18,2,2,0.3421776294708252,0.8833090662956238,"[1001.9662475585938, 763.2687377929688, 1221.25634765625, 1072.0579833984375]",6.0,"[996.0, 771.0, 1209.0, 1077.0]",0.015110333392682276,medium,Caries,Caries,best candidate below fixed confidence
29,train_229.png,false_negative,1,4,2,0.4739486873149872,0.7065606117248535,"[2008.6346435546875, 412.9039611816406, 2133.908935546875, 694.6207275390625]",0.0,"[2028.0, 382.0, 2144.0, 699.0]",0.009698802235377155,small,Caries,Deep Caries,best candidate below fixed confidence
35,train_702.png,false_negative,17,3,2,0.23222392797470093,0.8051284551620483,"[866.6806030273438, 759.5447387695312, 1090.423583984375, 1044.1094970703125]",1.0,"[872.727294921875, 765.4545288085938, 1085.45458984375, 1090.9090576171875]",0.01822893602632707,medium,Caries,Periapical Lesion,best candidate below fixed confidence
45,train_7.png,false_negative,4,1,1,0.4629083275794983,0.769862949848175,"[884.2567749023438, 457.43646240234375, 1081.855712890625, 651.01318359375]",2.0,"[859.0, 439.0, 1077.0, 657.0]",0.012367281508931174,medium,Impacted,Impacted,best candidate below fixed confidence
49,train_568.png,false_negative,37,2,4,0.21865259110927582,0.18164220452308655,"[1721.44384765625, 334.0830078125, 1838.15576171875, 673.246337890625]",0.0,"[1631.9285888671875, 319.6428527832031, 1760.5, 664.2857055664062]",0.011847691145832107,medium,Deep Caries,Caries,best candidate below fixed confidence
