image_id,file_name,GT count,candidate predictions,accepted predictions,true_positive,false_negative,background_false_positive,classification_error,localization_error,duplicate_detection,total diagnostic errors,diagnostic recall
190,train_462.png,16,64,2,2,14,0,0,0,0,14,0.125
255,train_477.png,14,59,5,3,10,0,1,1,0,12,0.21428571428571427
536,train_481.png,14,81,6,4,10,0,0,1,1,12,0.2857142857142857
202,train_391.png,17,100,10,7,9,1,1,1,0,12,0.4117647058823529
229,train_658.png,11,32,1,1,10,0,0,0,0,10,0.09090909090909091
388,train_507.png,11,52,9,4,5,0,2,1,2,10,0.36363636363636365
154,train_255.png,11,17,2,2,9,0,0,0,0,9,0.18181818181818182
239,train_696.png,10,28,4,2,7,1,1,0,0,9,0.2
556,train_192.png,11,57,5,3,7,0,1,0,1,9,0.2727272727272727
597,train_55.png,8,36,5,1,5,0,2,0,2,9,0.125
195,train_155.png,6,50,5,0,4,3,2,0,0,9,0.0
184,train_102.png,7,32,1,0,7,1,0,0,0,8,0.0
412,train_349.png,9,29,4,2,6,0,1,0,1,8,0.2222222222222222
419,train_590.png,6,26,5,1,4,2,1,0,1,8,0.16666666666666666
25,train_176.png,7,60,5,1,4,0,2,2,0,8,0.14285714285714285
155,train_485.png,5,46,6,1,3,3,1,1,0,8,0.2
409,train_478.png,7,33,2,1,6,1,0,0,0,7,0.14285714285714285
63,train_592.png,6,48,2,0,5,1,1,0,0,7,0.0
439,train_387.png,10,49,7,5,5,1,0,0,1,7,0.5
159,train_388.png,5,18,3,0,4,1,1,1,0,7,0.0
386,train_121.png,7,37,3,2,5,1,0,0,0,6,0.2857142857142857
455,train_146.png,6,46,2,1,5,1,0,0,0,6,0.16666666666666666
499,train_109.png,9,44,5,4,5,1,0,0,0,6,0.4444444444444444
144,train_451.png,9,27,5,4,5,0,0,1,0,6,0.4444444444444444
543,train_433.png,4,26,2,0,4,2,0,0,0,6,0.0
64,train_541.png,9,48,6,4,4,1,1,0,0,6,0.4444444444444444
552,train_644.png,6,39,3,1,4,1,1,0,0,6,0.16666666666666666
684,train_179.png,8,49,6,4,4,1,0,1,0,6,0.5
483,train_8.png,6,70,5,2,3,2,1,0,0,6,0.3333333333333333
196,train_356.png,8,54,7,4,3,1,1,1,0,6,0.5
192,train_497.png,8,74,10,6,2,2,0,2,0,6,0.75
392,train_244.png,9,92,10,6,2,2,1,1,0,6,0.6666666666666666
462,train_651.png,7,86,8,4,2,2,1,0,1,6,0.5714285714285714
266,train_26.png,5,68,7,1,0,1,4,0,1,6,0.2
164,train_510.png,7,17,2,2,5,0,0,0,0,5,0.2857142857142857
134,train_319.png,3,36,2,0,3,2,0,0,0,5,0.0
501,train_492.png,5,57,4,2,3,1,0,1,0,5,0.4
49,train_568.png,4,43,5,2,2,2,0,0,1,5,0.5
516,train_212.png,6,59,6,3,2,2,1,0,0,5,0.5
656,train_180.png,4,37,5,2,2,2,0,1,0,5,0.5
