image_id,file_name,event_type,prediction_index,predicted_label,actual_label,confidence,iou,prediction_box,gt_index,gt_box,relative_bbox_area,size_category
501,train_492.png,localization_error,0,2,2,0.6391834616661072,0.18221569061279297,"[1869.4705810546875, 844.9568481445312, 2123.966064453125, 1176.646484375]",3.0,,,
620,train_222.png,localization_error,0,2,2,0.6352999210357666,0.23893143236637115,"[1968.792724609375, 752.8140869140625, 2229.94140625, 1117.3843994140625]",2.0,,,
684,train_179.png,localization_error,0,2,2,0.6183475255966187,0.11327462643384933,"[881.5447387695312, 436.1145324707031, 1051.707763671875, 744.5699462890625]",0.0,,,
440,train_206.png,localization_error,1,2,2,0.607555091381073,0.22579659521579742,"[907.5519409179688, 696.6068115234375, 1116.60693359375, 1031.5679931640625]",1.0,,,
25,train_176.png,localization_error,0,2,2,0.604218065738678,0.14938968420028687,"[1120.9537353515625, 469.70501708984375, 1217.74169921875, 777.1537475585938]",3.0,,,
484,train_144.png,localization_error,0,2,2,0.6026818156242371,0.155105859041214,"[970.7586059570312, 566.6148681640625, 1136.2576904296875, 867.4158325195312]",5.0,,,
433,train_50.png,localization_error,1,2,2,0.5961341261863708,0.146693155169487,"[893.6719360351562, 826.6177978515625, 1124.3939208984375, 1169.2255859375]",2.0,,,
444,train_106.png,localization_error,0,2,2,0.5910017490386963,0.2406177967786789,"[1911.3603515625, 669.7052612304688, 2179.78466796875, 979.868896484375]",0.0,,,
251,train_460.png,localization_error,3,2,2,0.5899854302406311,0.13166064023971558,"[859.0698852539062, 560.7918701171875, 1024.152587890625, 865.5990600585938]",4.0,,,
392,train_244.png,localization_error,3,2,2,0.5828198194503784,0.10153573006391525,"[445.10650634765625, 569.3319091796875, 590.093017578125, 860.9656372070312]",5.0,,,
25,train_176.png,localization_error,3,2,2,0.5783215165138245,0.26298147439956665,"[889.2996215820312, 744.1329345703125, 1088.276611328125, 1059.8123779296875]",6.0,,,
656,train_180.png,localization_error,1,2,2,0.5772556066513062,0.36540988087654114,"[874.968017578125, 897.5138549804688, 1011.7659301757812, 1218.91552734375]",0.0,,,
202,train_391.png,localization_error,2,2,2,0.5730297565460205,0.12892793118953705,"[1134.96728515625, 841.3598022460938, 1283.3797607421875, 1110.3033447265625]",1.0,,,
196,train_356.png,localization_error,1,2,2,0.5706231594085693,0.19143390655517578,"[954.4407348632812, 427.0970153808594, 1098.4864501953125, 737.741455078125]",3.0,,,
484,train_144.png,localization_error,2,2,2,0.5687448978424072,0.1354641616344452,"[1746.2957763671875, 564.0663452148438, 1855.0966796875, 870.2459106445312]",4.0,,,
616,train_140.png,localization_error,2,2,2,0.5600173473358154,0.1589457094669342,"[1668.2056884765625, 917.4031372070312, 1804.8411865234375, 1241.779541015625]",3.0,,,
702,train_657.png,localization_error,1,2,2,0.5580767393112183,0.10552836954593658,"[1763.118408203125, 786.9691772460938, 1947.820556640625, 1058.729248046875]",1.0,,,
197,train_362.png,localization_error,2,2,2,0.5555731654167175,0.12474530190229416,"[851.7562866210938, 619.3526611328125, 1028.209716796875, 915.9783935546875]",3.0,,,
192,train_497.png,localization_error,2,2,2,0.5483866930007935,0.2364916354417801,"[675.9562377929688, 884.7564086914062, 913.1185302734375, 1120.7783203125]",0.0,,,
50,train_493.png,localization_error,1,2,2,0.5472603440284729,0.1586761474609375,"[918.30078125, 756.921630859375, 1128.822509765625, 1068.90966796875]",3.0,,,
536,train_481.png,localization_error,4,2,2,0.5421501994132996,0.11620382964611053,"[460.40380859375, 716.2950439453125, 741.4404296875, 1001.0145263671875]",11.0,,,
318,train_214.png,localization_error,3,2,2,0.5393984317779541,0.15291985869407654,"[752.0546875, 293.4579772949219, 818.2472534179688, 514.8984985351562]",1.0,,,
159,train_388.png,localization_error,0,2,2,0.5354501605033875,0.22943368554115295,"[670.76318359375, 652.33203125, 916.0118408203125, 862.5081176757812]",0.0,,,
388,train_507.png,localization_error,3,2,2,0.5344983339309692,0.17115503549575806,"[864.1615600585938, 370.9064636230469, 1034.4866943359375, 658.6962280273438]",10.0,,,
144,train_451.png,localization_error,3,2,2,0.5295379757881165,0.15040357410907745,"[713.1127319335938, 472.1413269042969, 837.6585693359375, 722.8969116210938]",0.0,,,
155,train_485.png,localization_error,5,2,2,0.529416024684906,0.17460952699184418,"[723.311767578125, 694.196044921875, 971.5366821289062, 992.802734375]",1.0,,,
534,train_690.png,localization_error,3,2,2,0.528735339641571,0.1363765448331833,"[1005.7216796875, 440.7220153808594, 1115.7760009765625, 730.19189453125]",0.0,,,
255,train_477.png,localization_error,4,2,2,0.5247395634651184,0.27587050199508667,"[1820.8876953125, 566.2534790039062, 1955.9591064453125, 901.9097290039062]",9.0,,,
169,train_372.png,localization_error,6,2,2,0.5141420960426331,0.27277687191963196,"[696.1118774414062, 731.9782104492188, 966.6187133789062, 1015.9254760742188]",5.0,,,
604,train_354.png,localization_error,1,1,1,0.5134212970733643,0.36864542961120605,"[694.38671875, 378.943603515625, 889.5532836914062, 665.2970581054688]",2.0,,,
192,train_497.png,localization_error,9,2,2,0.5063346028327942,0.2135774791240692,"[1085.4100341796875, 636.2965087890625, 1197.15185546875, 926.3251342773438]",4.0,,,
103,train_656.png,localization_error,4,2,2,0.5060184001922607,0.18030916154384613,"[705.72119140625, 618.704345703125, 992.6084594726562, 910.691162109375]",0.0,,,
60,train_292.png,localization_error,6,1,1,0.5028773546218872,0.24075652658939362,"[1822.8631591796875, 714.8743896484375, 2040.9119873046875, 1006.8302612304688]",1.0,,,
