path,size_bytes,sha256,artifact_role,reason_for_deletion,preserved_replacement_or_provenance,operational_reference_status,deletion_status
artifacts/baseline/yolo26n_640_seed42/weights/epoch8.pt,20750213,77d3dfa219e213726f98c9aa32edff170dad9c08349f0365772c343e364a3aed,YOLO intermediate,Intermediate epoch,Archived best plus history,NO ACTIVE REFERENCE,DELETED
artifacts/baseline/yolo26n_640_seed42/weights/epoch9.pt,20750341,3fc325f0998663a29da3027b30a559795962d74adcc7e3ddd3f448a77908c117,YOLO intermediate,Intermediate epoch,Archived best plus history,NO ACTIVE REFERENCE,DELETED
artifacts/baseline/yolo26n_640_seed42/weights/epoch10.pt,20750469,bc8a4b843a1fd7134828128bf560e89a06b3ab2c0495941bafd2a1ad68458919,YOLO intermediate,Intermediate epoch,Archived best plus history,NO ACTIVE REFERENCE,DELETED
artifacts/baseline/yolo26n_640_seed42/weights/epoch11.pt,20750597,d008e0df9ab182313d69055875d57e72436815f9e1cd721cc02604e883116860,YOLO intermediate,Intermediate epoch,Archived best plus history,NO ACTIVE REFERENCE,DELETED
artifacts/baseline/yolo26n_640_seed42/weights/epoch12.pt,20750725,5b7517650e3b02dd2b628ee0fd66bc2f8931aa1587219a514643054cf16d9de6,YOLO intermediate,Intermediate epoch,Archived best plus history,NO ACTIVE REFERENCE,DELETED
artifacts/baseline/yolo26n_640_seed42/weights/epoch13.pt,20750853,a8ff50f56051abb27797c85c1c1017fcc01bd3f590a6e734e595fe79b723b4cb,YOLO intermediate,Intermediate epoch,Archived best plus history,NO ACTIVE REFERENCE,DELETED
artifacts/baseline/yolo26n_640_seed42/weights/epoch14.pt,20750981,ce0c2ca9a88708e6a9aad91b35c6caf5c22936074e5cb1b8bb9506c232be3ca7,YOLO intermediate,Intermediate epoch,Archived best plus history,NO ACTIVE REFERENCE,DELETED
artifacts/baseline/yolo26n_640_seed42/weights/epoch15.pt,20751109,7daa8e19354d0257c07b1773054a214258c9a5475d7689174dbe35414773fe61,YOLO intermediate,Intermediate epoch,Archived best plus history,NO ACTIVE REFERENCE,DELETED
artifacts/baseline/yolo26n_640_seed42/weights/epoch16.pt,20751237,853fca80b1c7482cd18b75675de30922b957bdc9c994e207f8c1cea1c5df49d7,YOLO intermediate,Intermediate epoch,Archived best plus history,NO ACTIVE REFERENCE,DELETED
artifacts/baseline/yolo26n_640_seed42/weights/epoch17.pt,20751365,c43209bacdab38e07b0e9b4a33ee00a2b1c24033bd03491566fbefa9d916133d,YOLO intermediate,Intermediate epoch,Archived best plus history,NO ACTIVE REFERENCE,DELETED
artifacts/baseline/yolo26n_640_seed42/weights/epoch18.pt,20751493,c6c91bab4794b06eb8c923b7ee940a3ec78e2a20d091bd665ecca0ecc89dadac,YOLO intermediate,Intermediate epoch,Archived best plus history,NO ACTIVE REFERENCE,DELETED
artifacts/baseline/yolo26n_640_seed42/weights/epoch19.pt,20751621,accc0f47f3480309a058a48233dc5586ec5922e3d132be7074c9a322c5b17548,YOLO intermediate,Intermediate epoch,Archived best plus history,NO ACTIVE REFERENCE,DELETED
artifacts/baseline/yolo26n_640_seed42/weights/last.pt,5365829,d38bfd7269b2b6cef36c1b0d74bb2132da6f032ede56ad1de56213156e4c27ac,last/resume,Completed-run resume state,Archived best plus metrics/history,RESUME-ONLY REFERENCE,DELETED
artifacts/experiments/ssd300_seed42/last.pth,193064955,3353588c74a81658dc3840593bd103d3d216a293ae0d3aa5c277bef48a380616,last/resume,Completed-run resume state,Archived best plus metrics/history,RESUME-ONLY REFERENCE,DELETED
artifacts/experiments/fcos_seed42/last.pth,256229842,b4342cc16006e490e4ccf7996196a0a20150a3b3ec00f6394d3860a43004d907,last/resume,Completed-run resume state,Archived best plus metrics/history,RESUME-ONLY REFERENCE,DELETED
