epoch,learning_rate,backbone_frozen,epoch_time_seconds,train_loss,train_classification,train_bbox_regression,train_bbox_ctrness,mean_gradient_norm,max_gradient_norm,precision,recall,mAP50,mAP50_95
0,1e-05,False,360.8361251000024,2.0128858183750515,0.9751492101570656,0.41920677525639294,0.6185298325082109,77.52242299364256,4952.78076171875,,0.33366838097572327,0.19290024042129517,0.09475009888410568
1,3.9999999999999996e-05,False,360.85247030001483,1.9666685835584907,0.9922128823296777,0.35788481892606067,0.6165708840256047,73.27052676846967,3290.808837890625,,0.25387680530548096,0.15113914012908936,0.058645788580179214
2,7e-05,False,363.39874400000554,1.8417335110310367,0.8802969031957777,0.3458775331173659,0.6155590774079607,53.13757137933077,2156.895263671875,,0.27216601371765137,0.22332696616649628,0.10417550802230835
3,0.0001,False,360.79682649997994,1.9291556655272508,0.9747775280451436,0.3393088629049897,0.6150692714638932,56.00348276153781,4599.45849609375,,0.2644410729408264,0.19528517127037048,0.07738654315471649
4,9.915716843435315e-05,False,355.73890230001416,1.7903993110385918,0.8477263618978477,0.328530768684393,0.6141421803354492,42.996537304795055,2009.51416015625,,0.42398127913475037,0.2659984529018402,0.12959010899066925
5,9.665737535551561e-05,False,360.5735054000106,1.7347726940383292,0.7948220424490091,0.32541994158080334,0.6145307119429474,37.683707505645906,1653.89697265625,,0.3563081622123718,0.3105882406234741,0.14484819769859314
6,9.258574821861591e-05,False,359.7502880000102,1.6530413477706136,0.7249467034368922,0.3145512300439587,0.6135434156499093,32.953444682560395,1653.6016845703125,,0.3708466589450836,0.3226528465747833,0.1607116460800171
7,8.708094140242264e-05,False,357.7975634000031,1.5612261909500338,0.637735213638561,0.3101478651256639,0.6133431104327313,27.08570555064064,1222.5604248046875,,0.36488261818885803,0.3544761538505554,0.16176582872867584
8,8.033041450077321e-05,False,360.8782527000003,1.498994903680519,0.583567024939684,0.3030245493319165,0.612403330769065,23.54072175983483,814.2243041992188,,0.4167095422744751,0.3848321735858917,0.19353064894676208
9,7.256404861093866e-05,False,359.1542050999997,1.490706981800149,0.5884769160836996,0.29082474931621166,0.611405316158434,24.274348385677378,1052.578857421875,,0.3796807825565338,0.3971174657344818,0.18483157455921173
10,6.404631800856812e-05,False,361.4988611000008,1.3987369550954982,0.504358332279246,0.2833592752655911,0.6110193486387783,19.510488167979414,1155.35498046875,,0.3979301452636719,0.43631455302238464,0.21635860204696655
11,5.5067283793433455e-05,False,361.2475369000167,1.38083989204155,0.4987296799904314,0.272246517769947,0.6098636924374176,20.36679857642849,1415.6912841796875,,0.3785724639892578,0.40499189496040344,0.19517643749713898
12,4.5932716206566554e-05,False,360.6342896000133,1.256705210262694,0.3837157600761427,0.2637218817856926,0.6092675651062817,13.797028739844084,505.87689208984375,,0.45673179626464844,0.42584228515625,0.2204543501138687
13,3.69536819914319e-05,False,356.2192814000009,1.2044277950350581,0.3440879346164317,0.2527042976741133,0.6076355655101443,11.462309006745143,604.2539672851562,,0.4163757860660553,0.41256457567214966,0.1990620642900467
14,2.8435951389061382e-05,False,360.70684999998775,1.1688258446390318,0.31926666766133077,0.2426406587596839,0.6069185196990657,11.109949511942467,701.4095458984375,,0.45277461409568787,0.4116418957710266,0.206664577126503
15,2.0669585499226815e-05,False,356.46080669999355,1.1359800084269251,0.2923350945440013,0.23755472626453963,0.606090188389134,10.586313385448397,1154.154052734375,,0.4500732123851776,0.4094795286655426,0.21086515486240387
16,1.3919058597577366e-05,False,359.69402110000374,1.0877872715403305,0.25430500827437835,0.227933320777895,0.6055489425485081,8.739016155714195,889.6004638671875,,0.3886445462703705,0.40196695923805237,0.2082323133945465
17,8.414251781384107e-06,False,358.8722959999868,1.0552973143447524,0.22737156753390497,0.22344939631332492,0.6044763512833848,7.304357882521095,621.4400634765625,,0.42943987250328064,0.40721726417541504,0.21114543080329895
18,4.3426246444843925e-06,False,358.21303130002343,1.0365539565937438,0.21615278860931916,0.21647188467923817,0.6039292837736815,7.111934820004941,504.0757141113281,,0.4267343282699585,0.40343841910362244,0.20995089411735535
