experiment_id,source_experiment,best_epoch,mAP50_95,mAP50,recall,precision,training_time_seconds,parameter_count,model_size_mb,class_metrics,checkpoint,stage,status,per_class,trainable_parameter_count,mlflow_run_id,inference_latency_ms,peak_gpu_memory_mb,factor,parent_experiment,artifact_name,backbone,image_size,batch_size,epochs,optimizer,learning_rate,scheduler,weight_decay,momentum,adamw_betas,gradient_clip_norm,augmentation_profile,freeze_policy,warmup_epochs,warmup_start_factor,protocol_version,run_role,early_stopping_patience,early_stopping_min_delta,seed,minimum_epochs_before_early_stopping
R0_fcos_reference,E2_fcos_640,6,0.27638527750968933,0.4438188374042511,0.645373523235321,,4506.932136099669,32177610,256.226258,"{'Impacted': {'precision': nan, 'recall': 0.6606060862541199, 'AP50': nan, 'AP50_95': 0.5310486555099487}, 'Caries': {'precision': nan, 'recall': 0.5188732147216797, 'AP50': nan, 'AP50_95': 0.22705623507499695}, 'Periapical Lesion': {'precision': nan, 'recall': 0.24782608449459076, 'AP50': nan, 'AP50_95': 0.13977457582950592}, 'Deep Caries': {'precision': nan, 'recall': 0.3732394278049469, 'AP50': nan, 'AP50_95': 0.14822079241275787}}",C:\Users\Eclipse\PycharmProjects\Dental-Xray-Pathology-Detection\artifacts\experiments\fcos_seed42\best.pth,reference,reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1_sgd_lr5e4,,6,0.2471829205751419,0.40467536449432373,0.6151190400123596,,2611.422685400001,32071370,256.226578,,,optimizer_search,planned,"{'Impacted': {'AP50_95': 0.5502553582191467, 'recall': 0.6848484873771667, 'AP50': nan}, 'Caries': {'AP50_95': 0.20746450126171112, 'recall': 0.7225351929664612, 'AP50': nan}, 'Periapical Lesion': {'AP50_95': 0.08911179006099701, 'recall': 0.5347825884819031, 'AP50': nan}, 'Deep Caries': {'AP50_95': 0.14190007746219635, 'recall': 0.5183098316192627, 'AP50': nan}}",32071370.0,0f60d191a0e24bbf96dd10643fd44148,43.73769499998161,799.853056,optimizer_lr,R0_fcos_reference,A1_sgd_lr5e4,resnet50,640.0,2.0,20.0,SGD,0.0005,fixed,0.0005,0.9,"[0.9, 0.999]",10.0,none,full,0.0,0.1,fcos_refinement_v1,,,,,
A2_sgd_lr1e3,,5,0.2544059753417969,0.41519680619239807,0.6261323690414429,,2661.626161600001,32071370,256.226322,,,optimizer_search,planned,"{'Impacted': {'AP50_95': 0.5782886147499084, 'recall': 0.6868686676025391, 'AP50': nan}, 'Caries': {'AP50_95': 0.210190549492836, 'recall': 0.7236619591712952, 'AP50': nan}, 'Periapical Lesion': {'AP50_95': 0.08526664972305298, 'recall': 0.48695650696754456, 'AP50': nan}, 'Deep Caries': {'AP50_95': 0.1438780277967453, 'recall': 0.6070422530174255, 'AP50': nan}}",32071370.0,81948cc272d846c693de9dd032d899cc,43.50732999992033,794.446336,optimizer_lr,R0_fcos_reference,A2_sgd_lr1e3,resnet50,640.0,2.0,20.0,SGD,0.001,fixed,0.0005,0.9,"[0.9, 0.999]",10.0,none,full,0.0,0.1,fcos_refinement_v1,,,,,
A3_sgd_lr2e3,,8,0.24551402032375336,0.39799705147743225,0.5845862627029419,,2790.4413105999993,32071370,256.22709,,,optimizer_search,planned,"{'Impacted': {'AP50_95': 0.568710207939148, 'recall': 0.6848484873771667, 'AP50': nan}, 'Caries': {'AP50_95': 0.2064041942358017, 'recall': 0.704507052898407, 'AP50': nan}, 'Periapical Lesion': {'AP50_95': 0.061002761125564575, 'recall': 0.43913042545318604, 'AP50': nan}, 'Deep Caries': {'AP50_95': 0.14593888819217682, 'recall': 0.5098591446876526, 'AP50': nan}}",32071370.0,6da7c19c450f4626a8de55ab7c3c7729,60.83072000001266,799.263232,optimizer_lr,R0_fcos_reference,A3_sgd_lr2e3,resnet50,640.0,2.0,20.0,SGD,0.002,fixed,0.0005,0.9,"[0.9, 0.999]",10.0,none,full,0.0,0.1,fcos_refinement_v1,,,,,
A4_adamw_lr1e4,,6,0.2557508647441864,0.42173829674720764,0.6017411351203918,,2598.039052400003,32071370,383.668946,,,optimizer_search,planned,"{'Impacted': {'AP50_95': 0.5545648336410522, 'recall': 0.6737373471260071, 'AP50': nan}, 'Caries': {'AP50_95': 0.2468709647655487, 'recall': 0.7073239684104919, 'AP50': nan}, 'Periapical Lesion': {'AP50_95': 0.05765991285443306, 'recall': 0.469565212726593, 'AP50': nan}, 'Deep Caries': {'AP50_95': 0.1639077514410019, 'recall': 0.5563380122184753, 'AP50': nan}}",32071370.0,c2a4a0bbb6284081af13a40b75b6200f,49.21004500029085,1061.4144,optimizer_lr,R0_fcos_reference,A4_adamw_lr1e4,resnet50,640.0,2.0,20.0,AdamW,0.0001,fixed,0.0005,0.9,"[0.9, 0.999]",10.0,none,full,0.0,0.1,fcos_refinement_v1,,,,,
A5_adamw_lr3e4,,18,0.20924077928066254,0.34164780378341675,0.4535464644432068,,2542.3486309,32071370,383.672082,,,optimizer_search,planned,"{'Impacted': {'AP50_95': 0.49797454476356506, 'recall': 0.6090909242630005, 'AP50': nan}, 'Caries': {'AP50_95': 0.18417595326900482, 'recall': 0.4991549253463745, 'AP50': nan}, 'Periapical Lesion': {'AP50_95': 0.07132550328969955, 'recall': 0.260869562625885, 'AP50': nan}, 'Deep Caries': {'AP50_95': 0.0834871307015419, 'recall': 0.44507041573524475, 'AP50': nan}}",32071370.0,235ce4f53dd546bdadabd595412927a8,41.65541500005929,1054.66624,optimizer_lr,R0_fcos_reference,A5_adamw_lr3e4,resnet50,640.0,2.0,20.0,AdamW,0.0003,fixed,0.0005,0.9,"[0.9, 0.999]",10.0,none,full,0.0,0.1,fcos_refinement_v1,,,,,
A6_adamw_lr5e4,,13,0.055065494030714035,0.1616649031639099,0.29091474413871765,,2276.9862589999975,32071370,383.670738,,,optimizer_search,planned,"{'Impacted': {'AP50_95': 0.15965040028095245, 'recall': 0.3696969747543335, 'AP50': nan}, 'Caries': {'AP50_95': 0.05127796158194542, 'recall': 0.39408451318740845, 'AP50': nan}, 'Periapical Lesion': {'AP50_95': 0.0014244309859350324, 'recall': 0.09565217047929764, 'AP50': nan}, 'Deep Caries': {'AP50_95': 0.007909194566309452, 'recall': 0.304225355386734, 'AP50': nan}}",32071370.0,abb00f3f661947afa8bda202c503d0a2,46.069605000229785,1055.122944,optimizer_lr,R0_fcos_reference,A6_adamw_lr5e4,resnet50,640.0,2.0,20.0,AdamW,0.0005,fixed,0.0005,0.9,"[0.9, 0.999]",10.0,none,full,0.0,0.1,fcos_refinement_v1,,,,,
B1_fixed,,5,0.26705965399742126,0.41971972584724426,0.6081072688102722,,2496.5929738999985,32071370,383.668626,,,scheduler_search,planned,"{'Impacted': {'AP50_95': 0.5841900110244751, 'recall': 0.6868686676025391, 'AP50': nan}, 'Caries': {'AP50_95': 0.23091979324817657, 'recall': 0.7183098793029785, 'AP50': nan}, 'Periapical Lesion': {'AP50_95': 0.05696406587958336, 'recall': 0.417391300201416, 'AP50': nan}, 'Deep Caries': {'AP50_95': 0.19616469740867615, 'recall': 0.6098591685295105, 'AP50': nan}}",32071370.0,e0894bc6f7ce49f1930d0788e2097afd,52.40365499994368,1054.664192,scheduler,A4_adamw_lr1e4,B1_fixed,resnet50,640.0,2.0,20.0,AdamW,0.0001,fixed,0.0005,0.9,"[0.9, 0.999]",10.0,none,full,0.0,0.1,fcos_refinement_v1,,,,,
B2_cosine,,6,0.2548362612724304,0.4025071859359741,0.6072460412979126,,2430.4021920000014,32071370,383.669202,,,scheduler_search,planned,"{'Impacted': {'AP50_95': 0.5498917698860168, 'recall': 0.6777777671813965, 'AP50': nan}, 'Caries': {'AP50_95': 0.23743696510791779, 'recall': 0.7188732624053955, 'AP50': nan}, 'Periapical Lesion': {'AP50_95': 0.06643874198198318, 'recall': 0.447826087474823, 'AP50': nan}, 'Deep Caries': {'AP50_95': 0.16557753086090088, 'recall': 0.5845070481300354, 'AP50': nan}}",32071370.0,88776f896dd54efd8bc4b2324400762a,50.82651000011538,1054.431232,scheduler,A4_adamw_lr1e4,B2_cosine,resnet50,640.0,2.0,20.0,AdamW,0.0001,cosine,0.0005,0.9,"[0.9, 0.999]",10.0,none,full,0.0,0.1,fcos_refinement_v1,,,,,
B3_cosine_warmup,,6,0.2892681658267975,0.4632343351840973,0.630008339881897,,2435.0426406999977,32071370,383.669458,,,scheduler_search,planned,"{'Impacted': {'AP50_95': 0.5704320073127747, 'recall': 0.6909090876579285, 'AP50': nan}, 'Caries': {'AP50_95': 0.23697859048843384, 'recall': 0.7228168845176697, 'AP50': nan}, 'Periapical Lesion': {'AP50_95': 0.1478148102760315, 'recall': 0.4739130437374115, 'AP50': nan}, 'Deep Caries': {'AP50_95': 0.20184722542762756, 'recall': 0.6323943734169006, 'AP50': nan}}",32071370.0,e5110163acec47e6ac3f03aa62ecf6dd,54.32522999981302,1061.57824,scheduler,A4_adamw_lr1e4,B3_cosine_warmup,resnet50,640.0,2.0,20.0,AdamW,0.0001,cosine_warmup,0.0005,0.9,"[0.9, 0.999]",10.0,none,full,3.0,0.1,fcos_refinement_v1,,,,,
